YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,CAE_TYPE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,OUT_OF_DIRECTIVES,CRIT_CODE,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,NUMBER_OFFERS
2018,3,43104,R209.S2,0,0,N,Moss Kommunale Eiendomsselskap KF,PB 175,Moss,1501,OUT  ,NO,NO,N,R,"Recreation, culture and religion",Y,N,Y,W,NO031,N,N,N,45000000,45000.0,45000000,N,5.0,1.0,8390218.39,8390218.39,8390218.39,N,NIC,0,L,N,1,2.0
2018,3,43105,R209.S2,0,0,N,Omsorgsbygg Oslo KF,Postboks 2773 Solli,Oslo,0201,OUT  ,NO,NO,N,R,Other,N,N,N,W,NO,N,N,N,45000000,45000.0,45214100,Y,5.0,1.0,5693188.33,5693188.33,5693188.33,N,NIC,0,M,N,1,1.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45215100,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,1.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45300000---45310000,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,2.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45331000,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,3.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45330000,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,1.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45313100,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,4.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45343230,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,1.0
2019,3,43462,R209.S3,0,0,N,Øystre Slidre kommune,Bygdinvegen 1989,Heggenes,2940,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO022,N,N,N,45000000,45000.0,45332200,N,5.0,7.0,18985830.21,18985830.21,18985830.21,N,OPE,0,L,N,7,1.0
2019,3,43470,R209.S3,0,0,N,Lørenskog kommune,Hasselveien 6,Lørenskog,1471,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO012,N,N,N,45000000,45000.0,45200000---45214200,Y,5.0,1.0,5535234.85,5278598.33,5278598.33,N,OPE,0,M,N,1,4.0
2019,3,43472,R209.S3,0,0,N,Tinn kommune,Torget 1,Rjukan,3660,OUT  ,NO,NO,N,8,General public\services,N,N,N,W,NO034,N,N,N,45210000,45210.0,45110000---45111000---45211350---45214200---45300000---45310000---45315100---45330000---45331000---45332200---51900000---71240000,Y,5.0,1.0,0.1,0.1,0.1,N,NIC,0,M,N,1,1.0
2019,6,43469,R209.S3,0,0,N,Hias IKS,Sandvikavegen 136,Ottestad,2312,OUT  ,NO,NO,N,4,Water,N,N,N,W,NO021,N,N,N,45000000,45000.0,,N,5.0,1.0,14581473.96,14581473.96,14581473.96,N,RES,0,L,N,1,2.0
2020,6,43833,R209.S3,0,0,N,Bane NOR SF,Postboks 4350,Hamar,2308,OUT  ,NO,NO,N,4,Railway services,N,N,N,W,NO033,N,N,N,45000000,45000.0,45234100,Y,5.0,1.0,,,,N,NIC,0,M,N,1,4.0
2020,3,43833,R209.S3,0,0,N,Nærøy Kommune,idrettsvegen 1,Kolvereid,7970,OUT  ,NO,NO,N,3,General public\services,N,N,N,W,NO062,N,N,N,45212225,45212.0,45212200---45212212---71240000---71241000---71242000---71320000,N,5.0,1.0,18359010.71,18359010.71,18359010.71,N,OPE,0,M,N,1,3.0
2020,18,43836,R208.S4,0,1,,The Norwegian Defence Estates Agency,Grev Wedels plass 5,Oslo,0151,OUT  ,NO,NO,,1,Defence,N,,,W,,N,N,,45216200,45216.0,45222300---45230000---45231300---45233100---45233300---45340000---45421148,,5.0,,11657402.92,11657402.92,11657402.92,N,RES,0,L,,1,6.0
