CAE_TOWN,CAE_ADDRESS,ADDITIONAL_CPVS,DAY_COS,CAE_NAME,MAIN_CPV_CODE_GPA,CPV,TAL_LOCATION_NUTS,VALUE_EURO_FIN_2,CAE_POSTAL_CODE,DAY_SIN,VALUE_EURO_LOG,CORRECTIONS,VALUE_EURO_FIN_1,NUMBER_AWARDS,LOTS_NUMBER,TYPE_OF_CONTRACT,TARGET_CLASS
81,132,135,-0.012910296075008843,222,45000.0,45000000,0,33984610.9,78,-0.9999166586547379,17.341418388953667,0,33984610.9,1,1.0,2,3
106,17,246,0.004303538296244289,170,45000.0,45000000,71,59921482.2,26,0.9999907397361901,17.90854564987089,0,59921482.2,1,1.0,2,2
9,124,598,-0.5197438121555157,274,45210.0,45000000,78,138578.19,154,-0.8543221697498269,11.839197210165011,0,138578.19,1,1.0,2,1
7,237,644,0.6518989958787125,22,45000.0,45000000,78,47031672.0,154,-0.7583058084785625,17.66633182632701,0,47031672.0,1,1.0,2,3
3,198,519,-0.9192859697186105,222,45233.0,45233141,0,696535.56,147,-0.39359027665646645,13.453875561850953,0,696535.56,1,1.0,0,1
9,203,516,-0.08167639533042288,286,45210.0,45233140,78,50534911.8,154,-0.99665890175417,17.738174997952655,0,50534911.8,1,1.0,2,2
139,220,34,-0.8738071036110807,17,45233.0,45233139,62,3907267.52,236,-0.4862727071086902,15.17834909959979,0,3907267.52,1,1.0,0,4
129,164,506,-0.21772323039653224,285,45210.0,45236000,74,5914647.22,104,-0.9760105506323682,15.59294258109859,0,5914647.22,1,1.0,2,3
124,195,304,-0.548842958284719,34,45231.0,45231300,7,7631949.96,33,0.8359254794186372,15.847854066513095,0,7631949.96,1,1.0,2,2
42,108,352,0.9711000518829505,13,45213.0,45213331,64,6915978.93,68,0.2386727660059501,15.749345223814652,0,6915978.93,1,1.0,2,3
108,234,499,-0.36572252349726897,84,45252.0,45252120,13,1079676.89,72,0.9307239310379795,13.892173304615026,0,1079676.89,1,1.0,2,2
134,12,275,-0.9981855344718586,197,45000.0,45000000,77,14079899.64,116,0.06021327736579302,16.46025885185109,0,14079899.64,1,1.0,2,2
153,173,616,-0.8900275764346767,244,45215.0,45215100,7,4385501.21,252,0.4559066935084588,8.388413918136841,0,4385501.21,1,1.0,2,1
49,178,135,0.19245158197082995,18,45213.0,45213321,0,11357124.25,71,-0.9813064702716093,16.25448836297637,0,11357124.25,1,1.0,2,3
9,203,512,0.20931464596304847,286,45210.0,45233141,78,467404.43,154,0.9778483415056568,13.054952318477692,0,467404.43,1,1.0,2,1
44,252,180,0.9523775757303974,70,45210.0,45215221,72,5666944.89,57,0.30492122465628907,15.550160886844305,0,5666944.89,1,1.0,2,4
