model,variant,accuracy,precision_macro,recall_macro,f1_macro
RandomForest,tuned,0.43911439114391143,0.4023102766798419,0.3508297258297258,0.36703957070367693
XGBoost,baseline,0.47232472324723246,0.36723468507333906,0.31677838290741517,0.31669204946270635
DecisionTree,baseline,0.3800738007380074,0.30289940054057046,0.3150153609831029,0.3071528751753156
DecisionTree,tuned,0.39114391143911437,0.29808026658939435,0.28728180421728805,0.2904853701457614
RandomForest,baseline,0.4280442804428044,0.3607552426352213,0.2859662291113904,0.2887903235782088
ExtremeBoosting,baseline,0.43911439114391143,0.32001312335958004,0.2912116557277848,0.2877546451362691
LogisticRegression,tuned,0.3025830258302583,0.32011468064099646,0.3189638318670577,0.27272313968897377
ExtremeBoosting,tuned,0.42435424354243545,0.3709940965633565,0.27674382069543363,0.27008601616528866
XGBoost,tuned,0.43911439114391143,0.25221354166666665,0.27483358934971835,0.2572055137844611
LogisticRegression,baseline,0.4797047970479705,0.2307416003536693,0.2707518735744542,0.22030206806709005
